,x,y,z,result
378,18.887884,172.83257,-37.222553,1.003762
379,22.647196,74.899429,-60.287605,1.011121
380,20.923052,71.887199,-33.362778,1.006357
381,-690.32489,-154.17282,62.922451,0.999549
382,22.163525,108.32644,-61.118542,1.010512
383,21.534454,142.01578,-62.120483,1.007454
384,19.725773,139.01526,-35.230007,1.003581
385,-655.89996,-153.53468,64.020874,0.999538
386,20.879391,175.79115,-63.593163,1.006766
387,16.613838,240.81662,-41.931793,0.999949
388,-18.692944,237.59134,-4.251265,0.999949
389,-655.23926,-187.97838,63.149067,0.99959
390,13.646563,308.93646,-48.416504,0.999387
391,20.672365,209.5773,-65.627441,1.006473
392,17.785812,207.20973,-38.545273,1.003024
393,-688.98975,-223.05849,60.900967,0.999619
394,21.347597,243.46153,-67.626373,1.007709
395,22.619602,277.42249,-68.918556,1.007526
396,15.143865,275.23288,-44.394806,0.999697
397,-654.56842,-222.42151,62.061707,0.999618
398,24.399202,311.4231,-69.432335,1.007502
399,-23.935251,442.95831,-24.444773,0.99989
400,-154.10687,440.42273,9.448905,0.999558
401,-587.71045,-117.78419,66.384262,0.99934
402,-29.139071,577.61652,-47.229317,1.013772
403,10.146067,376.66763,-57.201736,0.995095
404,-22.321569,374.86194,-16.309443,0.999934
405,-621.47894,-152.88866,65.038597,0.999486
406,8.9768047,444.59818,-67.662262,0.993472
407,26.632627,345.36993,-68.823769,1.006137
408,11.88243,343.34622,-51.884293,0.999334
409,-587.03558,-152.2421,65.530045,0.999465
410,29.200811,379.33331,-68.956429,1.007183
411,32.173237,413.3071,-69.251663,1.006261
412,8.1124048,410.88467,-62.061939,0.994428
413,-586.3681,-186.6839,64.470871,0.999553
414,35.718616,447.34149,-69.512054,1.004022
415,16.627155,512.26575,-69.00853,1.006032
416,-27.059544,509.94302,-36.650009,0.998162
417,-620.14044,-221.77554,62.906994,0.999592
418,22.065256,580.28052,-69.434853,1.005678
419,39.955734,481.52267,-69.153595,1.001199
420,11.92045,479.01065,-69.31916,0.995988
421,-585.69611,-221.12183,63.342228,0.999598
422,43.954189,515.98108,-69.371521,0.999386
423,47.170826,550.57953,-69.382721,0.997752
424,19.524242,546.56555,-68.727211,1.007274
425,-555.31055,-13.6325,67.814621,0.998548
426,49.013584,585.43964,-69.382019,0.996836
427,-520.88849,-12.952461,67.77491,0.99847
428,-440.64557,818.09625,-34.226879,1.000838
429,-520.20398,-47.480869,67.563187,0.998723
430,-553.94836,-82.64994,67.207878,0.999067
431,-38.907867,708.48566,-68.571777,1.000977
432,-162.01372,712.17914,-32.866856,0.99674
433,-519.51801,-81.978561,67.093689,0.999027
434,-486.47394,-12.282439,67.288422,0.998544
435,22.769272,648.729,-69.098396,1.001388
436,-37.817554,640.77515,-68.82579,1.008077
437,-452.06772,-11.60383,66.568764,0.998697
438,22.022495,715.88824,-69.232697,1.000124
439,49.606457,620.48438,-69.41803,0.996929
440,22.322458,614.97241,-68.882385,1.002591
441,-451.37631,-46.123493,66.277222,0.998932
442,49.383007,655.3963,-69.218224,0.999033
443,48.84938,689.65161,-69.414085,0.999555
444,21.712894,683.06329,-69.413757,1.000227
